120th Precinct,,
Backing Unsafely,2,17
Brake Lights (Defect.or  Improper),82,1108
"Bus Lane, Driving in",0,1
Cell Phone,143,2665
Commercial Veh on Pkwy,0,0
Defective Brakes,1,1
Disobey Sign,39,946
Equipment (Other),28,499
Fail to Keep Right,0,10
Fail to Signal,18,290
Fail to Stop on Signal,23,597
Following Too Closely,1,11
Headlights (Defect. or Improper),73,812
Improper Lights,0,0
Improper Passing,3,56
Improper Turn,3,64
Improper/Missing Plates,11,215
Not Giving R of W to Pedes.,0,23
Not Giving R of W to Veh.,0,38
One Way Street,2,40
Pavement Markings,20,620
Safety Belt,182,2282
"School Bus, Passing Stopped",0,40
Speeding,88,810
Spillback,0,13
Tinted Windows,123,1745
Truck Routes,0,1
U-Turn,4,40
Uninspected,15,225
Uninsured,86,1670
Unlicensed Operator,113,1733
Unregistered,22,335
Unsafe Lane Change,1,29
Other Movers,58,492
TOTAL Movers,1141,17428
