"Moving Violations",,
"Transit Bureau",,
"November ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",0,0
"Bike Lane",0,0
"Bus Lane",0,0
"Cell Phone",0,1
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",1,4
"Driving Too Slow",0,0
Equipment,0,4
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",0,0
"Failure to Signal",0,2
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,0
"Improper Passing",0,0
"Improper Taxi Pickup",0,0
"Improper Turn",1,3
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",0,0
"Obstructed Plate",0,0
"One Way Street",0,0
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",0,3
"School Bus",0,0
"Scooter In NYC",0,0
"Seat Belt",0,0
Speeding,0,148
Spillback,0,0
"TBTA Rule",0,0
Tints,0,2
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,0
Uninsured,0,2
"Unlicensed Operator",0,10
Unregistered,0,3
"Unsafe Lane Change",0,2
"Other Movers",0,3
"TRANSITTOTAL Movers ",2,187
"* All figures are preliminary and subject to change.",,
