100th Precinct,,
Backing Unsafely,0,2
Brake Lights (Defect.or  Improper),36,102
"Bus Lane, Driving in",0,0
Cell Phone,50,138
Commercial Veh on Pkwy,0,0
Defective Brakes,0,2
Disobey Sign,85,194
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,0,2
Fail to Stop on Signal,38,73
Following Too Closely,0,0
Headlights (Defect. or Improper),0,5
Improper Lights,0,0
Improper Passing,11,20
Improper Turn,25,70
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,2,7
Not Giving R of W to Veh.,0,3
One Way Street,0,0
Pavement Markings,5,27
Safety Belt,46,110
"School Bus, Passing Stopped",0,5
Speeding,51,81
Spillback,0,0
Tinted Windows,48,99
Truck Routes,0,0
U-Turn,0,0
Uninspected,5,22
Uninsured,55,147
Unlicensed Operator,49,132
Unregistered,6,14
Unsafe Lane Change,0,0
Other Movers,16,61
TOTAL Movers,528,1316
