94th Precinct,,
Backing Unsafely,0,2
Brake Lights (Defect.or  Improper),6,39
"Bus Lane, Driving in",0,1
Cell Phone,61,252
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,139,406
Equipment (Other),4,6
Fail to Keep Right,0,1
Fail to Signal,5,27
Fail to Stop on Signal,67,213
Following Too Closely,0,0
Headlights (Defect. or Improper),20,66
Improper Lights,0,0
Improper Passing,2,7
Improper Turn,17,56
Improper/Missing Plates,1,7
Not Giving R of W to Pedes.,10,27
Not Giving R of W to Veh.,10,28
One Way Street,8,24
Pavement Markings,3,30
Safety Belt,89,243
"School Bus, Passing Stopped",2,2
Speeding,72,207
Spillback,1,1
Tinted Windows,47,154
Truck Routes,17,26
U-Turn,0,3
Uninspected,7,14
Uninsured,37,83
Unlicensed Operator,39,101
Unregistered,5,18
Unsafe Lane Change,1,1
Other Movers,79,254
TOTAL Movers,749,2299
