104th Precinct,,
Backing Unsafely,0,2
Brake Lights (Defect.or  Improper),23,57
"Bus Lane, Driving in",0,0
Cell Phone,91,257
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,110,270
Equipment (Other),2,2
Fail to Keep Right,1,1
Fail to Signal,22,51
Fail to Stop on Signal,35,99
Following Too Closely,1,2
Headlights (Defect. or Improper),7,30
Improper Lights,1,1
Improper Passing,4,8
Improper Turn,40,53
Improper/Missing Plates,5,24
Not Giving R of W to Pedes.,53,100
Not Giving R of W to Veh.,4,5
One Way Street,1,7
Pavement Markings,28,48
Safety Belt,93,370
"School Bus, Passing Stopped",2,2
Speeding,70,109
Spillback,2,4
Tinted Windows,120,310
Truck Routes,31,96
U-Turn,3,8
Uninspected,3,26
Uninsured,53,150
Unlicensed Operator,78,225
Unregistered,35,91
Unsafe Lane Change,0,1
Other Movers,75,228
TOTAL Movers,993,2637
